dx,dy,dtheta,dv
4.373679130083019118e-03,2.717229716321156729e-03,7.949013546875161040e-04,2.161812150853259507e-02
4.959359422826992159e-03,6.160029523023524689e-03,4.056793907727396231e-04,1.478162906538688093e-01
6.854947490921858844e-03,6.727934885294217793e-03,5.693664709789381106e-04,1.628851476050002800e-01
7.954880994404334160e-03,5.746106914024551315e-03,2.183778040052430924e-04,1.706236356008787869e-01
1.263079691715063291e-02,-2.113115390423914164e-02,2.660989921836609540e-03,-6.734639218940685623e-01
4.275220512923283422e-03,2.347603899089278912e-03,1.030385607720729624e-03,2.375212479722743630e-02
4.245825246542267450e-03,5.664408125799269556e-03,3.482106386574201906e-04,1.030657769548133373e-01
5.731209120867220008e-03,6.636852263518733253e-03,5.546612338511724971e-04,1.595055718246602972e-01
7.000716767947778862e-03,5.126844317207002177e-03,5.446953094312423360e-04,1.125702701141119144e-01
1.035934882494871090e-02,-1.503515442613334585e-02,3.227508727132732957e-03,-5.302222567004190035e-01
4.370871978053969542e-03,1.936095029876128137e-03,1.007360248116651036e-03,-1.979199367964590284e-02
4.396231617462831309e-03,5.881768067226289531e-03,2.925457287883403978e-05,1.394223623568917603e-01
6.192901621290047842e-03,4.587591487268838364e-03,4.626159386773576188e-04,1.116441374970910116e-01
7.150878776883473620e-03,3.716379388588819666e-03,8.332975784461904567e-04,6.699671673748097689e-02
9.647204582890367419e-03,-1.105579565657421881e-02,3.261669930864519173e-03,-3.876544277799618410e-01
5.236040730935087595e-03,1.023188638516359106e-03,1.029849960676010312e-03,2.519526153202600316e-02
5.950256784601037907e-03,1.189035175293895463e-03,1.026259719860478370e-03,3.016160612365481608e-02
7.036300037057685586e-03,1.913939281852350405e-03,7.020129326751334276e-04,2.949044450647808624e-03
7.732588793999184418e-03,5.705165724226191060e-03,1.004087504536066433e-03,1.547521873064132691e-01
1.030345254886810835e-02,-1.472301512549023528e-02,5.198218963817557992e-03,-4.849730612299691934e-01
3.765961925722649539e-03,1.657298570084009270e-03,-1.265102816412344566e-04,-3.354636909613795126e-04
3.389734438556502027e-03,3.049978052420243557e-03,3.863103303063386562e-04,6.942710351659503454e-02
