x,y,theta,v
-7.300998687744140625e+01,2.389312171936035156e+01,1.564981447712763041e+00,3.470544143381435465e-01
-7.300054168701171875e+01,2.390564346313476562e+01,1.558116883686974763e+00,3.533954084364363535e-01
-7.299084472656250000e+01,2.391879272460937500e+01,1.551028480971565537e+00,3.929738838514674759e-01
-7.298060607910156250e+01,2.393349266052246094e+01,1.543583480986194356e+00,3.964602457426213422e-01
-7.296886444091796875e+01,2.395009040832519531e+01,1.535261635211914610e+00,4.573740767059430445e-01
-7.295565032958984375e+01,2.396805763244628906e+01,1.525969999326682869e+00,4.809209697577156439e-01
-7.294339752197265625e+01,2.398279762268066406e+01,1.517764666850094146e+00,3.921597202350800004e-01
-7.293230438232421875e+01,2.399642944335937500e+01,1.510287043141369523e+00,3.991146846248630475e-01
-7.292118835449218750e+01,2.400974845886230469e+01,1.502903562177179575e+00,3.527490452682978117e-01
-7.290954589843750000e+01,2.402436637878417969e+01,1.494858418840159242e+00,4.336618846963514740e-01
-7.289984893798828125e+01,2.403492546081542969e+01,1.488613572400032226e+00,2.650480876759399584e-01
-7.289083099365234375e+01,2.404486846923828125e+01,1.482696028457876292e+00,2.908140260646905340e-01
-7.288191986083984375e+01,2.405503082275390625e+01,1.476809244026310530e+00,3.007623684107900153e-01
-7.287243652343750000e+01,2.406653022766113281e+01,1.470516993318780496e+00,3.315602753059126995e-01
-7.286138153076171875e+01,2.407961845397949219e+01,1.463131914457936222e+00,3.885654108005553442e-01
-7.285105895996093750e+01,2.409079360961914062e+01,1.456636198243123959e+00,2.992313184550948191e-01
-7.284154510498046875e+01,2.410105895996093750e+01,1.450755805398174392e+00,3.218588262939376388e-01
-7.283211517333984375e+01,2.411127471923828125e+01,1.444584462204133724e+00,3.029426957684528410e-01
-7.282225036621093750e+01,2.412200927734375000e+01,1.438367578955452863e+00,3.172663955036260641e-01
-7.281232452392578125e+01,2.413269805908203125e+01,1.432000626579345903e+00,3.274801012786982546e-01
-7.280233764648437500e+01,2.414306259155273438e+01,1.425948593002140719e+00,3.100795046088321016e-01
-7.279243469238281250e+01,2.415349769592285156e+01,1.419588298528759118e+00,3.055578977845632704e-01
-7.278247070312500000e+01,2.416353797912597656e+01,1.413619488735619045e+00,3.001405194939908427e-01
-7.277268218994140625e+01,2.417335700988769531e+01,1.407470915568898473e+00,3.216707258588362150e-01
-7.276470184326171875e+01,2.418057823181152344e+01,1.402732086725211547e+00,2.015697015384847746e-01
-7.275800323486328125e+01,2.418635749816894531e+01,1.398768504074846541e+00,1.927026959622503977e-01
-7.275263214111328125e+01,2.419130897521972656e+01,1.395796149982209133e+00,1.422613124265258433e-01
-7.274794769287109375e+01,2.419592475891113281e+01,1.393168408934628122e+00,1.437011223681203265e-01
-7.274488830566406250e+01,2.420067787170410156e+01,1.391847747350057674e+00,1.024650626674273174e-01
-7.274281311035156250e+01,2.420503425598144531e+01,1.391042940068635714e+00,9.548881776701298452e-02
-7.274175262451171875e+01,2.420872688293457031e+01,1.390821764540104644e+00,6.624508842040618961e-02
-7.274098205566406250e+01,2.421192359924316406e+01,1.390686209640619619e+00,6.572691497794909410e-02
-7.274042510986328125e+01,2.421448898315429688e+01,1.390614570607296541e+00,4.415060658966954432e-02
-7.273993682861328125e+01,2.421673202514648438e+01,1.390546393683390392e+00,4.727641941387872304e-02
-7.273957061767578125e+01,2.421850585937500000e+01,1.390514835224472945e+00,2.902199635663068461e-02
-7.273925018310546875e+01,2.422007942199707031e+01,1.390480613604465621e+00,3.429915457477043100e-02
-7.273901367187500000e+01,2.422128677368164062e+01,1.390468762537614644e+00,1.812252312461675244e-02
-7.273880004882812500e+01,2.422237014770507812e+01,1.390453049887183212e+00,2.483202487628155541e-02
-7.273864746093750000e+01,2.422315406799316406e+01,1.390450120409984169e+00,1.007729565151721692e-02
-7.273851013183593750e+01,2.422387123107910156e+01,1.390443861981422558e+00,1.779398144146908736e-02
-7.273843383789062500e+01,2.422434043884277344e+01,1.390445459878076440e+00,4.072959734712617262e-03
-7.273834991455078125e+01,2.422478675842285156e+01,1.390444128297531501e+00,1.249573231166467395e-02
-7.273831176757812500e+01,2.422501373291015625e+01,1.390447457248894070e+00,7.658426738001962789e-04
-7.273828125000000000e+01,2.422525405883789062e+01,1.390448522513330065e+00,8.457351255568883869e-03
